Date,Website country,User Country,Device Category,Site visits,Bookings,Booking Tool visits
2022-09-28,US,US,mobile,6022,122,2501
2022-09-24,US,US,desktop,5964,397,3025
2022-09-12,US,NL,desktop,5929,167,2156
2022-09-24,US,US,mobile,5840,125,2292
2022-09-13,US,NL,desktop,5711,129,1945
2022-08-28,US,US,desktop,5706,334,2800
2022-09-26,US,NL,desktop,5625,158,2154
2022-09-19,US,NL,desktop,5612,123,1985
2022-09-20,US,NL,desktop,5471,110,1922
2022-09-21,US,NL,desktop,5396,136,1964
2022-09-03,US,US,desktop,5353,387,2874
2022-09-07,US,US,mobile,5346,124,2212
2022-09-04,US,US,desktop,5270,360,2904
2022-09-22,US,NL,desktop,5166,129,1955
2022-09-27,US,NL,desktop,5160,170,1940
2022-09-14,US,NL,desktop,5139,122,1819
2022-09-15,US,NL,desktop,5087,129,1723
2022-09-05,DE,DE,desktop,5045,297,3328
2022-09-08,US,NL,desktop,5015,129,1924
2022-09-17,US,NL,mobile,4967,41,1244
2022-09-16,US,NL,desktop,4939,121,1666
2022-09-06,DE,DE,desktop,4916,351,3378
2022-08-29,DE,DE,desktop,4888,378,3166
2022-09-12,DE,DE,desktop,4782,302,3170
2022-08-22,DE,DE,desktop,4759,304,3118
2022-09-01,DE,DE,desktop,4751,337,3117
2022-09-28,US,NL,desktop,4721,133,1753
2022-09-13,DE,DE,desktop,4720,357,3198
2022-09-09,US,NL,desktop,4703,120,1695
2022-09-26,DE,DE,desktop,4701,290,3060
2022-09-23,US,NL,desktop,4658,128,1636
2022-08-30,DE,DE,desktop,4648,342,3087
2022-09-29,US,NL,desktop,4640,134,1674
2022-09-08,DE,DE,desktop,4574,340,3088
2022-08-31,DE,DE,desktop,4544,354,3000
2022-08-23,DE,DE,desktop,4541,291,2926
2022-09-18,US,NL,mobile,4538,31,1446
2022-09-14,DE,DE,desktop,4530,332,3092
2022-09-19,DE,DE,desktop,4488,276,2996
2022-09-07,US,NL,desktop,4446,113,1840
2022-09-27,DE,DE,desktop,4422,331,3035
2022-08-24,DE,DE,desktop,4381,292,2847
2022-09-20,DE,DE,desktop,4299,261,2757
2022-09-07,DE,DE,desktop,4234,343,2847
2022-09-15,DE,DE,desktop,4215,283,2842
2022-08-25,DE,DE,desktop,4006,280,2573
2022-09-28,DE,DE,desktop,3999,299,2742
2022-09-12,US,NL,mobile,3992,29,1321
2022-09-16,US,NL,mobile,3992,27,1116
2022-09-25,US,NL,mobile,3953,34,1439
2022-09-16,DE,DE,desktop,3917,274,2531
2022-09-18,US,NL,desktop,3913,104,1364
2022-09-21,DE,DE,desktop,3894,256,2648
2022-09-29,DE,DE,desktop,3845,296,2544
2022-09-02,DE,DE,desktop,3825,273,2484
2022-09-05,US,US,mobile,3792,82,1901
2022-09-11,US,NL,mobile,3779,33,1352
2022-09-09,DE,DE,desktop,3774,262,2527
2022-09-22,DE,DE,desktop,3712,268,2418
2022-08-31,US,US,mobile,3684,96,1791
2022-08-27,US,US,mobile,3629,71,1781
2022-08-26,DE,DE,desktop,3605,257,2365
2022-09-11,US,NL,desktop,3603,105,1300
2022-08-23,US,US,mobile,3599,70,1688
2022-08-28,US,US,mobile,3593,86,1787
2022-09-02,US,US,mobile,3590,85,1686
2022-09-11,DE,DE,desktop,3586,304,2575
2022-09-22,US,NL,mobile,3582,30,1192
2022-09-21,US,NL,mobile,3564,25,1187
2022-09-19,US,NL,mobile,3563,23,1064
2022-09-13,US,NL,mobile,3555,31,1209
2022-08-24,US,US,mobile,3539,99,1746
2022-08-22,US,US,mobile,3511,78,1676
2022-09-18,DE,DE,desktop,3504,249,2359
2022-09-04,US,US,mobile,3497,81,1583
2022-09-06,US,US,mobile,3489,62,1700
2022-09-03,US,US,mobile,3480,92,1628
2022-09-20,US,NL,mobile,3477,33,1092
2022-09-17,US,NL,desktop,3446,74,1014
2022-09-26,US,NL,mobile,3443,19,1237
2022-09-24,US,NL,mobile,3441,26,1169
2022-08-26,US,US,mobile,3429,68,1679
2022-09-01,US,US,mobile,3428,95,1614
2022-09-23,US,NL,mobile,3423,28,1071
2022-08-28,DE,DE,desktop,3409,255,2391
2022-09-08,US,NL,mobile,3409,31,1195
2022-08-30,US,US,mobile,3395,78,1550
2022-08-29,US,US,mobile,3392,73,1632
2022-09-25,US,NL,desktop,3370,91,1167
2022-08-25,US,US,mobile,3368,86,1613
2022-09-14,US,NL,mobile,3363,27,1120
2022-09-23,DE,DE,desktop,3354,210,2115
2022-08-22,NO,NO,desktop,3351,238,2465
2022-09-29,US,NL,mobile,3341,30,1142
2022-09-25,DE,DE,desktop,3300,227,2296
2022-09-10,US,NL,mobile,3290,35,1166
2022-09-05,NO,NO,desktop,3280,295,2368
2022-09-27,US,NL,mobile,3277,24,1150
2022-09-04,DE,DE,desktop,3264,243,2298
2022-09-09,US,NL,mobile,3227,41,1041
2022-09-12,NO,NO,desktop,3220,250,2285
2022-09-15,US,NL,mobile,3212,26,1057
2022-09-28,US,NL,mobile,3148,24,1082
2022-09-26,NO,NO,desktop,3115,253,2174
2022-09-06,NO,NO,desktop,3100,252,2272
2022-09-13,NO,NO,desktop,3016,230,2168
2022-08-24,NL,US,mobile,3001,46,1505
2022-08-29,NO,NO,desktop,2987,275,2214
2022-09-24,US,NL,desktop,2984,68,976
2022-09-10,US,NL,desktop,2960,77,974
2022-09-01,IT,IT,desktop,2959,178,2188
2022-08-23,NO,NO,desktop,2947,234,2174
2022-09-05,IT,IT,desktop,2923,179,2095
2022-08-23,NL,US,mobile,2896,57,1547
2022-08-24,NO,NO,desktop,2881,241,2082
2022-09-18,NL,US,mobile,2881,32,1413
2022-09-10,DE,DE,desktop,2877,198,1953
2022-09-07,NO,NO,desktop,2860,223,2013
2022-09-14,NO,NO,desktop,2845,266,2027
2022-09-07,US,NL,mobile,2844,20,1136
2022-08-31,NO,NO,desktop,2811,260,1998
2022-09-19,NO,NO,desktop,2802,234,1962
2022-08-29,IT,IT,desktop,2800,159,2040
2022-09-01,NO,NO,desktop,2796,236,1976
2022-09-12,IT,IT,desktop,2775,171,2008
2022-08-30,NO,NO,desktop,2774,263,1982
2022-09-27,NO,NO,desktop,2769,256,1885
2022-09-04,DE,DE,mobile,2751,41,1763
2022-08-31,IT,IT,desktop,2732,155,1991
2022-09-06,IT,IT,desktop,2727,184,1993
2022-09-17,DE,DE,desktop,2723,176,1788
2022-08-30,IT,IT,desktop,2711,136,1942
2022-09-11,DE,DE,mobile,2702,38,1806
2022-08-25,NO,NO,desktop,2689,201,1920
2022-09-17,NL,US,mobile,2688,26,1146
2022-09-27,IT,IT,desktop,2673,152,1951
2022-09-08,NL,US,mobile,2659,42,1415
2022-09-07,IT,IT,desktop,2656,149,1982
2022-09-13,IT,IT,desktop,2630,169,1915
2022-09-18,DE,DE,mobile,2628,38,1745
2022-08-28,DE,DE,mobile,2622,63,1648
2022-09-15,NO,NO,desktop,2600,227,1815
2022-09-20,NO,NO,desktop,2596,221,1810
2022-09-22,NO,NO,desktop,2586,196,1763
2022-09-21,NO,NO,desktop,2573,205,1793
2022-09-08,NO,NO,desktop,2571,199,1828
2022-09-03,DE,DE,desktop,2566,192,1691
2022-08-28,NL,US,mobile,2558,49,1428
2022-09-01,DE,DE,mobile,2545,48,1500
2022-08-27,DE,DE,desktop,2532,187,1703
2022-09-28,NO,NO,desktop,2518,206,1752
2022-09-08,IT,IT,desktop,2511,171,1864
2022-09-01,NL,US,mobile,2495,34,1220
2022-09-04,NL,US,mobile,2483,37,1350
2022-09-12,NL,US,mobile,2481,30,1233
2022-09-14,IT,IT,desktop,2479,163,1828
2022-09-26,IT,IT,desktop,2479,155,1785
2022-09-02,IT,IT,desktop,2476,167,1754
2022-09-20,IT,IT,desktop,2455,144,1792
2022-09-06,DE,DE,mobile,2447,44,1538
2022-09-05,NL,US,mobile,2437,36,1246
2022-09-11,NL,US,mobile,2437,28,1313
2022-09-25,DE,DE,mobile,2431,37,1633
2022-09-29,NO,NO,desktop,2423,193,1672
2022-08-22,DE,DE,mobile,2418,39,1501
2022-09-06,NL,US,mobile,2418,45,1287
2022-09-15,IT,IT,desktop,2413,135,1704
2022-09-12,DE,DE,mobile,2412,40,1503
2022-08-29,NL,US,mobile,2408,44,1240
2022-09-05,DE,DE,mobile,2392,43,1503
2022-09-19,IT,IT,desktop,2389,112,1714
2022-09-03,NL,US,mobile,2383,33,1240
2022-09-24,DE,DE,desktop,2380,149,1600
2022-08-31,NL,US,mobile,2377,27,1280
2022-09-28,IT,IT,desktop,2373,144,1770
2022-08-30,DE,DE,mobile,2367,44,1468
2022-09-20,NL,US,mobile,2336,32,1241
2022-08-31,DE,DE,mobile,2331,42,1375
2022-08-27,NL,US,mobile,2323,56,1240
2022-09-02,DE,DE,mobile,2314,43,1385
2022-09-16,NL,US,mobile,2314,34,1095
2022-08-22,IT,IT,desktop,2308,127,1618
2022-09-21,IT,IT,desktop,2305,126,1681
2022-08-23,DE,DE,mobile,2299,32,1450
2022-09-17,DE,DE,mobile,2298,17,1357
2022-08-28,NO,NO,desktop,2297,237,1739
2022-08-23,IT,IT,desktop,2292,118,1604
2022-09-29,IT,IT,desktop,2291,156,1658
2022-09-08,DE,DE,mobile,2286,41,1455
2022-08-30,NL,US,mobile,2283,35,1175
2022-08-22,NL,US,mobile,2276,42,1089
2022-09-14,DE,DE,mobile,2268,46,1497
2022-09-23,NO,NO,desktop,2268,196,1524
2022-09-10,DE,DE,mobile,2262,39,1437
2022-09-16,NO,NO,desktop,2261,187,1531
2022-08-24,IT,IT,desktop,2258,125,1624
2022-09-13,NL,US,mobile,2245,36,1155
2022-09-03,DE,DE,mobile,2243,33,1390
2022-09-09,NL,US,mobile,2238,33,1109
2022-08-29,DE,DE,mobile,2235,45,1380
2022-08-24,DE,DE,mobile,2234,42,1343
2022-09-09,IT,IT,desktop,2228,165,1604
2022-09-16,DE,DE,mobile,2210,23,1307
2022-09-25,NO,NO,desktop,2202,197,1597
2022-09-09,NO,NO,desktop,2197,217,1575
2022-09-19,NL,US,mobile,2187,31,1111
2022-09-02,NO,NO,desktop,2182,217,1516
2022-09-29,DE,DE,mobile,2182,34,1290
2022-08-25,DE,DE,mobile,2180,47,1345
2022-09-15,NL,US,mobile,2174,21,1102
2022-09-22,IT,IT,desktop,2172,137,1569
2022-09-13,DE,DE,mobile,2165,36,1400
2022-09-04,NO,NO,desktop,2157,218,1619
2022-08-26,NO,NO,desktop,2152,198,1586
2022-08-25,IT,IT,desktop,2145,111,1547
2022-09-16,IT,IT,desktop,2145,126,1528
2022-09-15,DE,DE,mobile,2143,47,1433
2022-09-07,DE,DE,mobile,2136,55,1387
2022-09-25,NL,US,mobile,2112,33,1082
2022-08-27,DE,DE,mobile,2109,47,1269
2022-08-25,NL,US,mobile,2098,27,1019
2022-09-28,DE,DE,mobile,2097,46,1365
2022-09-10,NL,US,mobile,2090,32,1015
2022-09-23,IT,IT,desktop,2074,126,1439
2022-08-26,NL,US,mobile,2070,36,1000
2022-09-19,DE,DE,mobile,2068,34,1298
2022-09-20,DE,DE,mobile,2067,38,1326
2022-08-26,DE,DE,mobile,2057,33,1236
2022-09-21,NL,US,mobile,2047,38,1066
